Year,Value
2000,7.45
2001,7.58
2002,7.6
2003,7.91
2004,7
2005,6.98
2006,7.53
2007,7.17
2008,7.05
2009,7.79
2010,6.93
2011,7.31
2012,7.52
2013,7.42
2014,7.37
2015,7.17
2016,7.2
2017,7.41
2018,7.73
2019,9.32
2020,8.25
2000,19.41
2001,18.31
2002,18.76
2003,19.28
2004,16.89
2005,18.44
2006,18.86
2007,16.31
2008,15.44
2009,16.76
2010,15.87
2011,16.57
2012,14.89
2013,14.84
2014,13.11
2015,13.77
2016,12.66
2017,12.28
2018,12.72
2019,11.58
2020,11.03
2000,19.58
2001,18.09
2002,18.05
2003,20.39
2004,18.03
2005,17.52
2006,19.35
2007,17.33
2008,16.53
2009,16.8
2010,16.52
2011,16.43
2012,15.27
2013,14.42
2014,12.95
2015,13.39
2016,12.44
2017,12.82
2018,12.54
2019,11.25
2020,11.25
2000,9.8
2001,9.95
2002,9.75
2003,9.85
2004,9.02
2005,9.58
2006,9.15
2007,8.82
2008,8.53
2009,7.61
2010,7.42
2011,7.38
2012,7.59
2013,7.26
2014,7.39
2015,7.12
2016,6.41
2017,7.04
2018,7.09
2019,6.22
2020,6.56
2000,20.7
2001,21.36
2002,23.71
2003,24.58
2004,21.19
2005,22.56
2006,23.52
2007,18.67
2008,18.52
2009,19.56
2010,20.95
2011,21.24
2012,19.49
2013,19.13
2014,18.56
2015,18
2016,17.18
2017,17.14
2018,17.56
2019,14.42
2020,14.29
2000,15.64
2001,13.29
2002,14.47
2003,16.02
2004,13.28
2005,14.12
2006,15.03
2007,14.02
2008,11.9
2009,12.22
2010,12.83
2011,13.36
2012,10.82
2013,10.41
2014,10.81
2015,10.24
2016,9.24
2017,10.09
2018,10.33
2019,9.59
2020,9.05
2000,8.15
2001,7.53
2002,7.55
2003,8.1
2004,7.34
2005,7.67
2006,8.47
2007,7.32
2008,6.95
2009,7
2010,6.97
2011,6.99
2012,6.34
2013,5.96
2014,6.23
2015,5.71
2016,5.36
2017,5.2
2018,5.57
2019,5.45
2020,4.96
2000,15.97
2001,15.35
2002,14.98
2003,16.64
2004,14.43
2005,14.76
2006,15.57
2007,14.8
2008,13.58
2009,13.95
2010,13.27
2011,13.65
2012,12.46
2013,12.35
2014,10.64
2015,11.29
2016,10.49
2017,10.45
2018,10.47
2019,9.83
2020,9.61
