Entity,Code,Year,cattle_meat,oilseed_products,other_crops,rice,veg_fruits_nuts,wheat,sugar,plant_fibres,other_meat_products,other_cereals
Australia,AUS,2013,1767338.297321319,4969793.59998414,873074.7564459204,879389.0705623928,1175708.5949791756,41496.59453311058,152323.30590320315,101078.22823714308,0,89034.20738235713
Austria,AUT,2013,750326.2634340065,959211.8081484797,226532.91701410015,184118.42177344376,392507.1735488152,15495.063538139988,33453.31609604508,24966.585586054443,0,30146.19965717813
Belgium,BEL,2013,1666691.4828559938,4135304.797652836,1082828.0337551185,458813.42003082536,1633892.461495006,50684.96248163814,85687.04012840815,106014.54914022925,0,86200.37873201883
Brazil,BRA,2013,466297528.3857009,7542319.308821722,5085772.606180485,10277208.349230262,11853222.15612244,3112053.787359228,6621832.43402129,1130639.5589238303,0,2329114.418581534
Bulgaria,BGR,2013,74554.72227597806,287585.55679058534,93859.29854061715,32811.579689742044,65247.879685852786,2691.415729872105,12265.053200463659,4320.697776815324,0,5368.397603170243
Canada,CAN,2013,2665047.889512809,3624347.8548061782,2009818.4114964134,702091.0932827302,1593326.9810968966,70277.87792435366,154281.645655308,95454.95270944708,0,110420.50710524853
China,CHN,2013,12387036.524284167,118397858.5008529,15895193.434544723,5441660.441109774,12765543.275361188,207476.64861634135,1486521.6178859717,1250616.3288920545,0,460586.3048433512
Croatia,HRV,2013,117526.95767434264,185067.72523228766,43818.454429463025,28201.598846467445,50624.776431533144,2741.823991381761,6320.205713703223,3297.6285305097736,0,5155.4529314424435
Cyprus,CYP,2013,65817.3375962124,87130.50914968696,12946.64613104999,19470.537369878348,23095.76241360045,2452.1127951868007,3942.72277962676,798.4420734278343,0,3783.8831477358995
Czechia,CZE,2013,323900.214412587,658518.9566702886,268878.6386447249,131315.9098802183,365266.34187728184,9401.029483221047,20885.765348642537,19826.64743417377,0,17658.683388687714
Denmark,DNK,2013,530664.6570380904,1344172.2797709242,123198.81409870267,159897.3520451045,231565.73900001904,16080.482562467048,36390.87657578448,11731.325372463758,0,23811.4742813353
Estonia,EST,2013,79226.79265243148,199731.8739451988,56260.03656027091,23490.022725821535,63735.092352261425,2728.546035622247,2747.7024943825845,2472.2530517288915,0,6891.428936850923
Finland,FIN,2013,428946.46996175125,868781.606405861,248907.9547393776,120323.70012625854,189102.67555659797,9798.575931434612,21680.186963712444,9492.54121236928,0,17155.39276460542
France,FRA,2013,4231518.594255763,7283871.020866226,2335327.2856043885,1408886.0316033852,6226556.805700248,146767.36392195654,231081.73325758998,241861.2117062749,0,329848.3674891524
Germany,DEU,2013,10313307.999225516,15618906.995349603,4803404.4273008695,1591509.9542871246,3853635.1169729796,141415.8627750062,289798.4975701735,299549.1645992775,0,255080.1284476761
Greece,GRC,2013,285715.6255713358,1525001.7063337318,158710.46867336458,97100.8613306014,203278.84349698728,12120.305949211743,21063.37838703825,16796.605571547094,0,19801.752286531046
Hungary,HUN,2013,173370.19371102093,430540.5139756034,121181.2000307697,64441.69648598859,78865.16594968397,5351.767904126469,11351.173995471567,9688.342778649047,0,10381.31719023113
India,IND,2013,3191568.9024467706,49486930.3102641,4037855.353038138,1580860.0596492698,10805240.54875925,1710670.5235605584,422958.32728363405,473932.3647340294,0,180430.01655854585
Indonesia,IDN,2013,1546610.030831804,55745287.06184216,10177914.603657959,62291319.13954165,35900819.195197314,45032.68024489459,2150309.308133157,313397.1522109134,0,1824969.8958913751
Ireland,IRL,2013,419168.3568056543,680178.3655930412,144319.60092609774,178505.0143644544,267782.32775529724,19466.48695202584,35859.32258604929,9988.942755432749,0,26826.746351035297
Italy,ITA,2013,6010473.540893127,10588531.411600966,2158913.3217447237,1011548.6917068865,1931787.7702447942,265430.59390982025,173590.7261215158,176637.81806453146,0,186015.8088690229
Japan,JPN,2013,4778887.563344294,17572114.27141363,7950408.22086691,2324960.3776625465,5162257.669338321,115227.10772754162,586785.112898971,305919.7110752168,0,492804.1488975218
Latvia,LVA,2013,40604.58434731083,1265513.9526415104,48083.00649647644,14076.120467740915,26245.65702654148,1308.8433876535082,2203.3044672235656,3624.9755559327064,0,3855.1814652452636
Lithuania,LTU,2013,76800.48506164717,310831.41168033937,56158.74488413554,26973.654350250923,68295.20029975557,2380.9330575566228,4525.784650550407,2804.421237998646,0,4252.570188536734
Luxembourg,LUX,2013,233235.140354752,587190.4576023412,71153.39304832924,62844.0370014844,330585.7553471344,5444.203839678644,10767.53998563573,11726.183292205815,0,11348.633386004767
Malta,MLT,2013,29061.57675714621,43464.71518321545,5326.239310787769,8062.013684640674,13093.051641930631,3834.1136260227267,1832.3479903038617,599.2327574099583,0,2580.5181710576794
Mexico,MEX,2013,18411918.257458106,3883443.7852369957,1034295.6888070367,583424.9251763053,1175842.5006223652,3872590.998115442,1485267.6712205715,217398.897298266,0,565185.0836944287
Netherlands,NLD,2013,3954908.223950541,5403478.225869586,1028649.136748087,558469.7332498528,2036285.6487921057,79580.11914330693,96502.58986740399,79139.25122630462,0,161290.96112162128
Norway,NOR,2013,749119.0838786389,1366706.8748131935,191421.8796603514,184692.7034576696,506861.5251324511,27546.77262561312,39204.26890227602,24869.350625456897,0,31799.41259086883
Poland,POL,2013,763465.2414495955,2074286.0074745554,894945.3753392082,319303.24001087947,580324.8287387859,26527.75935608591,47152.986489591625,33763.768641474424,0,53027.99987132542
Portugal,PRT,2013,558956.8926939729,1310626.685033184,185527.94438985348,169930.56909328612,283065.5473447469,14244.58879171161,44677.382523970235,77671.24169224259,0,38382.99906973376
Romania,ROU,2013,174309.66637130067,470189.2737735533,324767.0901500396,80107.30990909938,93069.57996162408,11163.293647497434,16564.790528507,9269.55640728093,0,14842.767157111877
Russia,RUS,2013,23063003.2583413,9124852.270229083,1916756.1013327846,879541.0480531945,4531478.125847897,96894.07766095162,185542.47841673403,115935.76861400715,0,152170.49996056053
Slovakia,SVK,2013,143059.61049123012,271578.57389851456,266846.09485819115,86509.56049725608,175408.1412385169,4295.636798842775,9069.359088765628,6469.710338924766,0,8106.454909244811
Slovenia,SVN,2013,85489.5267165726,572982.1421953656,149155.3541582642,31055.67442943501,55006.45274969718,2438.4454135931855,4687.654622680719,6991.427941799407,0,4613.296602512302
South Africa,ZAF,2013,754726.6995456887,1721684.7439648495,239191.04132542477,361538.2677042635,494527.8105178022,134537.9254194526,49640.99520289475,77396.11492952582,0,71682.88031599938
South Korea,KOR,2013,2043251.97498845,7182708.636548428,3666628.6296534208,1084508.9993113182,1924324.2860471902,73671.96675219915,502804.26236319443,192290.5461447004,0,315506.93883852044
Spain,ESP,2013,4126263.9476093445,7546135.397857337,1786477.5273650398,897880.3731915726,2311511.7978623533,102990.01445423515,187946.946378755,132600.07376395015,0,195823.96774373026
Sweden,SWE,2013,948030.9728641381,1504152.8597910977,274329.87390759424,219572.2698074348,414927.76016150764,18330.83601984393,38577.67421013134,20105.125820742436,0,32694.619700190924
Switzerland,CHE,2013,1407377.4614406317,1448246.4385625687,404524.39608896535,314667.5117399603,718582.3354499628,27841.84278072274,59978.78490913559,88393.96653494479,0,50886.186471175
Taiwan,TWN,2013,1428216.9601118874,15606917.842745243,2661326.2614814956,822301.3482060117,2049161.2173243156,23939.789114205145,208915.41723411714,58240.709999999264,0,55633.26470985944
Turkey,TUR,2013,2648285.519090954,7546128.0246307785,1401183.023978535,391899.64835656126,612041.2473873185,188065.20269336985,57768.27308485004,210172.03188208948,0,76312.57120042601
United Kingdom,GBR,2013,4205208.7539982,8750896.514769064,2119805.957505722,1279478.6928428956,4406546.203377487,119004.48384678688,334100.377960248,243161.08041537166,0,248065.46022894894
United States,USA,2013,26005002.272655196,29738950.56737353,17234102.05436638,4564029.36513501,9846371.07667174,761894.5050497054,1585694.683432557,1347982.8706928522,0,1027923.6395900329
