Entity,Code,Year,Living Planet Index
Africa,,1970,100
Africa,,1971,95.46197
Africa,,1972,94.68341500000001
Africa,,1973,99.181175
Africa,,1974,99.384934
Africa,,1975,96.61807999999999
Africa,,1976,92.4302
Africa,,1977,87.26711999999999
Africa,,1978,80.73154
Africa,,1979,76.92542999999999
Africa,,1980,76.90819
Africa,,1981,79.57674
Africa,,1982,76.40778
Africa,,1983,73.15032500000001
Africa,,1984,68.47612
Africa,,1985,63.735693999999995
Africa,,1986,59.79401
Africa,,1987,57.302266
Africa,,1988,56.04172
Africa,,1989,55.163693
Africa,,1990,53.534119999999994
Africa,,1991,52.495760000000004
Africa,,1992,52.553064000000006
Africa,,1993,52.879715000000004
Africa,,1994,53.79903
Africa,,1995,53.20898
Africa,,1996,53.31399999999999
Africa,,1997,52.35895000000001
Africa,,1998,51.48128
Africa,,1999,50.7355
Africa,,2000,49.84782
Africa,,2001,47.79694
Africa,,2002,45.418295
Africa,,2003,43.467075
Africa,,2004,43.0759
Africa,,2005,42.34751
Africa,,2006,41.760892
Africa,,2007,41.764033
Africa,,2008,42.106512
Africa,,2009,42.209774
Africa,,2010,41.113392
Africa,,2011,39.325637
Africa,,2012,36.957404
Africa,,2013,34.51454
Africa,,2014,32.49287
Africa,,2015,31.293574000000003
Africa,,2016,32.054221999999996
Africa,,2017,34.445876
Asia and Pacific,,1970,100
Asia and Pacific,,1971,103.71096
Asia and Pacific,,1972,104.83867000000001
Asia and Pacific,,1973,104.1134
Asia and Pacific,,1974,104.98114999999999
Asia and Pacific,,1975,105.98035999999999
Asia and Pacific,,1976,106.01545999999999
Asia and Pacific,,1977,104.16127
Asia and Pacific,,1978,102.56186000000001
Asia and Pacific,,1979,101.44664000000002
Asia and Pacific,,1980,100.67151999999999
Asia and Pacific,,1981,99.026155
Asia and Pacific,,1982,96.717304
Asia and Pacific,,1983,93.70903
Asia and Pacific,,1984,92.25159000000001
Asia and Pacific,,1985,92.458534
Asia and Pacific,,1986,94.252414
Asia and Pacific,,1987,94.757587
Asia and Pacific,,1988,94.40385
Asia and Pacific,,1989,93.061244
Asia and Pacific,,1990,90.09349
Asia and Pacific,,1991,86.526734
Asia and Pacific,,1992,82.85733499999999
Asia and Pacific,,1993,78.79221
Asia and Pacific,,1994,75.63638999999999
Asia and Pacific,,1995,72.34422
Asia and Pacific,,1996,70.80678
Asia and Pacific,,1997,68.932796
Asia and Pacific,,1998,66.69414
Asia and Pacific,,1999,64.504075
Asia and Pacific,,2000,62.26602
Asia and Pacific,,2001,61.274499999999996
Asia and Pacific,,2002,61.50519
Asia and Pacific,,2003,62.201874999999994
Asia and Pacific,,2004,63.06195
Asia and Pacific,,2005,62.876225
Asia and Pacific,,2006,62.67986
Asia and Pacific,,2007,59.98012000000001
Asia and Pacific,,2008,55.849594
Asia and Pacific,,2009,50.052905
Asia and Pacific,,2010,46.797657
Asia and Pacific,,2011,44.423908
Asia and Pacific,,2012,43.996629999999996
Asia and Pacific,,2013,44.64906
Asia and Pacific,,2014,45.918136999999994
Asia and Pacific,,2015,46.883875
Asia and Pacific,,2016,44.755146
Asia and Pacific,,2017,44.335765
Asia and Pacific,,2018,44.679649999999995
Europe and Central Asia,,1970,100
Europe and Central Asia,,1971,101.27226
Europe and Central Asia,,1972,103.28786000000001
Europe and Central Asia,,1973,105.62783
Europe and Central Asia,,1974,107.57695000000001
Europe and Central Asia,,1975,108.68518
Europe and Central Asia,,1976,109.44718
Europe and Central Asia,,1977,110.94269999999999
Europe and Central Asia,,1978,112.80895
Europe and Central Asia,,1979,113.88322
Europe and Central Asia,,1980,113.81798
