Country Name,Year,Living Planet Index,Upper CI,Lower CI
Africa,1970,100.0,100.0,100.0
Africa,1971,95.46,104.91,87.79
Africa,1972,94.68,110.87,81.48
Africa,1973,99.18,120.87,81.91
Africa,1974,99.38,127.88,77.14
Africa,1975,96.62,132.45,69.76
Africa,1976,92.43,134.85,61.84
Africa,1977,87.27,131.95,56.34
Africa,1978,80.73,125.73,50.86
Africa,1979,76.93,125.75,46.27
Africa,1980,76.91,132.82,43.88
Africa,1981,79.58,142.62,43.64
Africa,1982,76.41,139.83,41.08
Africa,1983,73.15,134.31,39.06
Africa,1984,68.48,126.08,36.34
Africa,1985,63.74,117.93,33.65
Africa,1986,59.79,111.45,31.48
Africa,1987,57.3,107.71,30.15
Africa,1988,56.04,105.84,29.47
Africa,1989,55.16,104.73,28.96
Africa,1990,53.53,102.05,27.99
Africa,1991,52.5,100.48,27.32
Africa,1992,52.55,101.04,27.25
Africa,1993,52.88,102.23,27.23
Africa,1994,53.8,104.64,27.49
Africa,1995,53.21,104.13,27.01
Africa,1996,53.31,104.83,27.0
Africa,1997,52.36,103.35,26.48
Africa,1998,51.48,101.87,26.05
Africa,1999,50.74,100.54,25.65
Africa,2000,49.85,99.06,25.19
Africa,2001,47.8,95.52,24.05
Africa,2002,45.42,91.41,22.77
Africa,2003,43.47,88.08,21.58
Africa,2004,43.08,88.14,21.05
Africa,2005,42.35,87.52,20.35
Africa,2006,41.76,87.06,19.84
Africa,2007,41.76,87.36,19.83
Africa,2008,42.11,88.0,19.96
Africa,2009,42.21,88.48,19.96
Africa,2010,41.11,86.39,19.39
Africa,2011,39.33,83.08,18.5
Africa,2012,36.96,78.11,17.36
Africa,2013,34.51,73.0,16.18
Africa,2014,32.49,68.63,15.24
Africa,2015,31.29,66.26,14.67
Africa,2016,32.05,68.03,14.97
Africa,2017,34.45,73.43,15.99
Asia and Pacific,1970,100.0,100.0,100.0
Asia and Pacific,1971,103.71,109.73,98.47
Asia and Pacific,1972,104.84,114.4,96.1
Asia and Pacific,1973,104.11,114.81,93.62
Asia and Pacific,1974,104.98,116.58,93.87
Asia and Pacific,1975,105.98,118.41,94.33
Asia and Pacific,1976,106.02,119.13,93.97
Asia and Pacific,1977,104.16,117.26,92.15
Asia and Pacific,1978,102.56,115.73,90.5
Asia and Pacific,1979,101.45,114.75,89.25
Asia and Pacific,1980,100.67,114.2,88.33
Asia and Pacific,1981,99.03,112.66,86.63
Asia and Pacific,1982,96.72,110.37,84.34
Asia and Pacific,1983,93.71,107.25,81.48
Asia and Pacific,1984,92.25,106.71,79.48
Asia and Pacific,1985,92.46,108.66,78.49
Asia and Pacific,1986,94.25,113.65,78.26
Asia and Pacific,1987,94.76,116.58,77.42
Asia and Pacific,1988,94.4,118.01,76.22
Asia and Pacific,1989,93.06,117.27,74.68
Asia and Pacific,1990,90.09,114.7,71.54
Asia and Pacific,1991,86.53,111.54,67.83
Asia and Pacific,1992,82.86,108.2,64.09
Asia and Pacific,1993,78.79,104.02,60.28
Asia and Pacific,1994,75.64,100.89,57.16
Asia and Pacific,1995,72.34,97.49,54.07
Asia and Pacific,1996,70.81,96.06,52.51
Asia and Pacific,1997,68.93,94.22,50.78
Asia and Pacific,1998,66.69,91.8,48.75
Asia and Pacific,1999,64.5,89.52,46.81
Asia and Pacific,2000,62.27,86.94,44.92
Asia and Pacific,2001,61.27,85.81,43.99
Asia and Pacific,2002,61.51,86.18,44.0
Asia and Pacific,2003,62.2,87.22,44.33
Asia and Pacific,2004,63.06,88.83,44.82
Asia and Pacific,2005,62.88,89.3,44.5
Asia and Pacific,2006,62.68,89.85,44.1
Asia and Pacific,2007,59.98,86.91,41.74
