Country Name,Year,Tree Cover Loss (hectares)
Afghanistan,2002,179.0
Afghanistan,2003,244.0
Afghanistan,2004,201.0
Afghanistan,2005,236.0
Afghanistan,2006,152.0
Afghanistan,2007,253.0
Afghanistan,2008,107.0
Afghanistan,2009,70.0
Afghanistan,2010,88.0
Afghanistan,2011,113.0
Afghanistan,2012,39.0
Afghanistan,2013,1.0
Afghanistan,2014,3.0
Afghanistan,2018,26.0
Afghanistan,2019,17.0
Afghanistan,2020,37.0
Afghanistan,2021,26.0
Albania,2002,890.0
Albania,2003,614.0
Albania,2004,3237.0
Albania,2005,695.0
Albania,2006,963.0
Albania,2007,5225.0
Albania,2008,5471.0
Albania,2009,1337.0
Albania,2010,656.0
Albania,2011,1188.0
Albania,2012,5396.0
Albania,2013,2570.0
Albania,2014,1052.0
Albania,2015,284.0
Albania,2016,928.0
Albania,2017,1689.0
Albania,2018,2049.0
Albania,2019,1074.0
Albania,2020,1118.0
Albania,2021,1686.0
Algeria,2002,3010.0
Algeria,2003,3831.0
Algeria,2004,4374.0
Algeria,2005,4470.0
Algeria,2006,5415.0
Algeria,2007,5202.0
Algeria,2008,7972.0
Algeria,2009,10467.0
Algeria,2010,2606.0
Algeria,2011,8344.0
Algeria,2012,10913.0
Algeria,2013,6927.0
Algeria,2014,9523.0
Algeria,2015,5707.0
Algeria,2016,8011.0
Algeria,2017,45979.0
Algeria,2018,5764.0
Algeria,2019,6291.0
Algeria,2020,13073.0
Algeria,2021,20473.0
Andorra,2002,1.0
Andorra,2004,23.0
Andorra,2005,2.0
Andorra,2006,7.0
Andorra,2007,2.0
Andorra,2008,5.0
Andorra,2009,3.0
Andorra,2010,1.0
Andorra,2011,1.0
Andorra,2012,8.0
Andorra,2013,3.0
Andorra,2014,1.0
Andorra,2015,2.0
Andorra,2016,1.0
Andorra,2017,3.0
Andorra,2018,15.0
Andorra,2019,8.0
Andorra,2020,27.0
Andorra,2021,2.0
Angola,2002,61034.0
Angola,2003,52462.0
Angola,2004,71274.0
Angola,2005,93435.0
Angola,2006,76940.0
Angola,2007,145287.0
Angola,2008,103582.0
Antigua and Barbuda,2002,18.0
Antigua and Barbuda,2003,17.0
Antigua and Barbuda,2004,25.0
Antigua and Barbuda,2005,61.0
Antigua and Barbuda,2006,61.0
Antigua and Barbuda,2007,37.0
Antigua and Barbuda,2008,46.0
Antigua and Barbuda,2009,62.0
Antigua and Barbuda,2010,19.0
Antigua and Barbuda,2011,26.0
Antigua and Barbuda,2012,33.0
Antigua and Barbuda,2013,21.0
Antigua and Barbuda,2014,25.0
Antigua and Barbuda,2015,9.0
Antigua and Barbuda,2016,14.0
Antigua and Barbuda,2017,72.0
Antigua and Barbuda,2018,163.0
Antigua and Barbuda,2019,23.0
Antigua and Barbuda,2020,15.0
Antigua and Barbuda,2021,39.0
Argentina,2002,105002.0
Argentina,2019,145444.0
Armenia,2002,173.0
Armenia,2003,396.0
Armenia,2004,83.0
Armenia,2005,104.0
