Entity,Products,CO2 (in Tonnes)
Australia,cattle_meat,1767338.3
Australia,other_cereals,89034.21
Australia,other_crops,873074.76
Australia,plant_fibres,101078.23
Australia,rice,879389.07
Australia,sugar,152323.31
Australia,veg_fruits_nuts,1175708.59
Australia,wheat,41496.59
Austria,cattle_meat,750326.26
Austria,oilseed_products,959211.81
Austria,other_cereals,30146.2
Austria,other_crops,226532.92
Austria,plant_fibres,24966.59
Austria,rice,184118.42
Austria,sugar,33453.32
Austria,veg_fruits_nuts,392507.17
Austria,wheat,15495.06
Belgium,cattle_meat,1666691.48
Belgium,other_cereals,86200.38
Belgium,other_crops,1082828.03
Belgium,plant_fibres,106014.55
Belgium,rice,458813.42
Belgium,sugar,85687.04
Belgium,veg_fruits_nuts,1633892.46
Belgium,wheat,50684.96
Brazil,other_cereals,2329114.42
Brazil,plant_fibres,1130639.56
Brazil,wheat,3112053.79
Bulgaria,cattle_meat,74554.72
Bulgaria,oilseed_products,287585.56
Bulgaria,other_cereals,5368.4
Bulgaria,other_crops,93859.3
Bulgaria,plant_fibres,4320.7
Bulgaria,rice,32811.58
Bulgaria,sugar,12265.05
Bulgaria,veg_fruits_nuts,65247.88
Bulgaria,wheat,2691.42
Canada,cattle_meat,2665047.89
Canada,other_cereals,110420.51
Canada,other_crops,2009818.41
Canada,plant_fibres,95454.95
Canada,rice,702091.09
Canada,sugar,154281.65
Canada,veg_fruits_nuts,1593326.98
Canada,wheat,70277.88
China,other_cereals,460586.3
China,plant_fibres,1250616.33
China,sugar,1486521.62
China,wheat,207476.65
Croatia,cattle_meat,117526.96
Croatia,oilseed_products,185067.73
Croatia,other_cereals,5155.45
Croatia,other_crops,43818.45
Croatia,plant_fibres,3297.63
Croatia,rice,28201.6
Croatia,sugar,6320.21
Croatia,veg_fruits_nuts,50624.78
Croatia,wheat,2741.82
Cyprus,cattle_meat,65817.34
Cyprus,oilseed_products,87130.51
Cyprus,other_cereals,3783.88
Cyprus,other_crops,12946.65
Cyprus,plant_fibres,798.44
Cyprus,rice,19470.54
Cyprus,sugar,3942.72
Cyprus,veg_fruits_nuts,23095.76
Cyprus,wheat,2452.11
Czechia,cattle_meat,323900.21
Czechia,oilseed_products,658518.96
Czechia,other_cereals,17658.68
Czechia,other_crops,268878.64
Czechia,plant_fibres,19826.65
Czechia,rice,131315.91
Czechia,sugar,20885.77
Czechia,veg_fruits_nuts,365266.34
Czechia,wheat,9401.03
Denmark,cattle_meat,530664.66
Denmark,oilseed_products,1344172.28
Denmark,other_cereals,23811.47
Denmark,other_crops,123198.81
Denmark,plant_fibres,11731.33
Denmark,rice,159897.35
Denmark,sugar,36390.88
Denmark,veg_fruits_nuts,231565.74
Denmark,wheat,16080.48
Estonia,cattle_meat,79226.79
Estonia,oilseed_products,199731.87
Estonia,other_cereals,6891.43
Estonia,other_crops,56260.04
Estonia,plant_fibres,2472.25
Estonia,rice,23490.02
Estonia,sugar,2747.7
Estonia,veg_fruits_nuts,63735.09
Estonia,wheat,2728.55
Finland,cattle_meat,428946.47
Finland,oilseed_products,868781.61
Finland,other_cereals,17155.39
Finland,other_crops,248907.95
Finland,plant_fibres,9492.54
Finland,rice,120323.7
Finland,sugar,21680.19
Finland,veg_fruits_nuts,189102.68
Finland,wheat,9798.58
France,other_cereals,329848.37
France,other_crops,2335327.29
France,plant_fibres,241861.21
France,rice,1408886.03
France,sugar,231081.73
France,wheat,146767.36
Germany,other_cereals,255080.13
Germany,plant_fibres,299549.16
Germany,rice,1591509.95
Germany,sugar,289798.5
Germany,wheat,141415.86
Greece,cattle_meat,285715.63
Greece,oilseed_products,1525001.71
Greece,other_cereals,19801.75
Greece,other_crops,158710.47
Greece,plant_fibres,16796.61
Greece,rice,97100.86
Greece,sugar,21063.38
Greece,veg_fruits_nuts,203278.84
Greece,wheat,12120.31
Hungary,cattle_meat,173370.19
Hungary,oilseed_products,430540.51
Hungary,other_cereals,10381.32
Hungary,other_crops,121181.2
Hungary,plant_fibres,9688.34
Hungary,rice,64441.7
Hungary,sugar,11351.17
Hungary,veg_fruits_nuts,78865.17
Hungary,wheat,5351.77
India,cattle_meat,3191568.9
India,other_cereals,180430.02
India,plant_fibres,473932.36
India,rice,1580860.06
India,sugar,422958.33
India,wheat,1710670.52
Indonesia,cattle_meat,1546610.03
Indonesia,other_cereals,1824969.9
Indonesia,plant_fibres,313397.15
Indonesia,sugar,2150309.31
Indonesia,wheat,45032.68
Ireland,cattle_meat,419168.36
Ireland,oilseed_products,680178.37
Ireland,other_cereals,26826.75
Ireland,other_crops,144319.6
Ireland,plant_fibres,9988.94
Ireland,rice,178505.01
Ireland,sugar,35859.32
Ireland,veg_fruits_nuts,267782.33
Ireland,wheat,19466.49
Italy,other_cereals,186015.81
Italy,other_crops,2158913.32
Italy,plant_fibres,176637.82
Italy,rice,1011548.69
