Country Name,Year,Forest area (% of land area)
World,1960,..
World,1961,..
World,1962,..
World,1963,..
World,1964,..
World,1965,..
World,1966,..
World,1967,..
World,1968,..
World,1969,..
World,1970,..
World,1971,..
World,1972,..
World,1973,..
World,1974,..
World,1975,..
World,1976,..
World,1977,..
World,1978,..
World,1979,..
World,1980,..
World,1981,..
World,1982,..
World,1983,..
World,1984,..
World,1985,..
World,1986,..
World,1987,..
World,1988,..
World,1989,..
World,1990,..
World,1991,..
World,1992,32.5110191391759
World,1993,32.45485213706991
World,1994,32.3971532541665
World,1995,32.33725783777177
World,1996,32.276722386493844
World,1997,32.1988190609858
World,1998,32.14466567870853
World,1999,32.08235439643639
World,2000,32.00484632543645
World,2001,31.96488769275932
World,2002,31.925177733102558
World,2003,31.883171370534548
World,2004,31.80694126089069
World,2005,31.766064919372432
World,2006,31.727344667129522
World,2007,31.687577330296048
World,2008,31.651626731880214
World,2009,31.612178526720328
World,2010,31.571771763963596
World,2011,31.536963472968605
World,2012,31.472313842138888
World,2013,31.43820022402002
World,2014,31.403806923407757
World,2015,31.368386454776104
World,2016,31.34091596008531
World,2017,31.289997007738908
World,2018,31.252635742152798
World,2019,31.213754551826614
World,2020,31.176904586713945
World,2021,31.17704902276405
World,2022,..
