Country Name,Year,Tree Cover Loss (hectares)
World,1960,..
World,1961,..
World,1962,..
World,1963,..
World,1964,..
World,1965,..
World,1966,..
World,1967,..
World,1968,..
World,1969,..
World,1970,..
World,1971,..
World,1972,..
World,1973,..
World,1974,..
World,1975,..
World,1976,..
World,1977,..
World,1978,..
World,1979,..
World,1980,..
World,1981,..
World,1982,..
World,1983,..
World,1984,..
World,1985,..
World,1986,..
World,1987,..
World,1988,..
World,1989,..
World,1990,..
World,1991,..
World,1992,..
World,1993,..
World,1994,..
World,1995,..
World,1996,..
World,1997,..
World,1998,..
World,1999,..
World,2000,..
World,2001,..
World,2002,..
World,2003,..
World,2004,..
World,2005,..
World,2006,..
World,2007,..
World,2008,..
World,2009,..
World,2010,..
World,2011,..
World,2012,..
World,2013,..
World,2014,..
World,2015,..
World,2016,..
World,2017,..
World,2018,..
World,2019,..
World,2020,..
World,2021,..
World,2022,..
World,2023,..
