Country Name,Year,Wheat Yield (tonnes/km2)
World,1961,1.0889
World,1962,1.206
World,1963,1.132
World,1964,1.2413
World,1965,1.2150999
World,1966,1.4079
World,1967,1.3392
World,1968,1.4534
World,1969,1.4174
World,1970,1.4941
World,1971,1.6244999
World,1972,1.6046
World,1973,1.6836
World,1974,1.6155
World,1975,1.5701
World,1976,1.7910999
World,1977,1.6724
World,1978,1.9327999
World,1979,1.8521999
World,1980,1.8554
World,1981,1.88
World,1982,1.9992
World,1983,2.1258
World,1984,2.2201
World,1985,2.1719
World,1986,2.3213
World,1987,2.29
World,1988,2.2926
World,1989,2.3732
World,1990,2.5626
World,1991,2.4414
World,1992,2.534
World,1993,2.537
World,1994,2.4777
World,1995,2.4958
World,1996,2.564
World,1997,2.7157
World,1998,2.7063
World,1999,2.7461998
World,2000,2.7316
World,2001,2.7417
World,2002,2.7551
World,2003,2.6513999
World,2004,2.9426
World,2005,2.8286998
World,2006,2.8904
World,2007,2.8155
World,2008,3.0626
World,2009,3.0356998
World,2010,2.9721
World,2011,3.1639
World,2012,3.0916998
World,2013,3.2472
World,2014,3.3162
World,2015,3.3216999
World,2016,3.4150999
World,2017,3.5379999
World,2018,3.4243999
World,2019,3.5424
World,2020,3.4738998
World,2021,3.4919
