Year,Agricultural land (% of land area),Forest area (% of land area),Wheat Yield (tonnes/km2),Living Planet Index
1990,37.42956790123457,34.503750000000004,2.2828125,62.68
1991,37.12072727272727,35.19263803680981,2.2530208333333333,61.61
1992,38.40451086956522,34.255604395604394,2.331896551724138,60.12
1993,38.63657754010695,34.11335135135135,2.285086206896552,58.11
1994,38.56598930481284,34.11502702702703,2.2624786324786323,56.2
1995,38.50625668449199,34.06562162162162,2.297777777777778,54.04
1996,38.49390374331551,34.01594594594594,2.270603448275862,53.04
1997,38.55251336898396,33.96654054054054,2.356551724137931,51.75
1998,38.59486631016043,33.948702702702704,2.3924999999999996,50.47
1999,38.7272192513369,33.89940540540541,2.2574782608695654,48.66
2000,38.729100529100535,33.78235294117647,2.3350000000000004,47.22
2001,38.67756613756614,33.74117647058823,2.407217391304348,45.67
2002,38.64793650793651,33.70368983957219,2.465309734513274,44.5
2003,38.58359788359788,33.66074866310161,2.355,43.52
2004,38.34513227513228,33.61475935828877,2.5701754385964914,42.93
2005,38.24603174603175,33.573315508021395,2.554741379310345,42.2
2006,38.238324607329844,33.62904761904762,2.516869565217391,41.3
2007,38.13633507853404,33.59984126984127,2.5818103448275864,40.14
2008,38.248167539267016,33.56920634920635,2.6422123893805307,38.72
2009,38.29806282722513,33.53761904761905,2.6084684684684682,36.88
2010,38.334240837696335,33.504973544973545,2.683771929824562,35.15
2011,38.361832460732984,33.4610582010582,2.790619469026548,33.44
2012,38.35875,33.29552631578947,2.7520000000000002,32.37
2013,38.309583333333336,33.24705263157895,2.7514159292035396,31.74
2014,38.24859375,33.20194736842105,2.7523636363636363,31.67
2015,38.44885416666667,33.159263157894735,2.808392857142857,31.63
2016,38.46182291666667,33.10863157894737,2.834122807017544,31.15
2017,38.52130208333333,33.062105263157896,2.825309734513274,30.89
2018,38.51651041666667,33.004578947368415,2.8042735042735045,30.9
