Entity,Code,Year,Wheat yield
Afghanistan,AFG,1961,1.022
Afghanistan,AFG,1962,0.97349995
Afghanistan,AFG,1963,0.83169997
Afghanistan,AFG,1964,0.951
Afghanistan,AFG,1965,0.9723
Afghanistan,AFG,1966,0.8666
Afghanistan,AFG,1967,1.1231999
Afghanistan,AFG,1968,1.1561999
Afghanistan,AFG,1969,1.1855
Afghanistan,AFG,1970,0.95629996
Afghanistan,AFG,1971,0.8149
Afghanistan,AFG,1972,0.84569997
Afghanistan,AFG,1973,1.1739
Afghanistan,AFG,1974,1.2074
Afghanistan,AFG,1975,1.2128
Afghanistan,AFG,1976,1.2494
Afghanistan,AFG,1977,1.1309
Afghanistan,AFG,1978,1.198
Afghanistan,AFG,1979,1.2317
Afghanistan,AFG,1980,1.2549
Afghanistan,AFG,1981,1.235
Afghanistan,AFG,1982,1.2299
Afghanistan,AFG,1983,1.258
Afghanistan,AFG,1984,1.2319
Afghanistan,AFG,1985,1.2277
Afghanistan,AFG,1986,1.189
Afghanistan,AFG,1987,1.2849
Afghanistan,AFG,1988,1.1728
Afghanistan,AFG,1989,1.118
Afghanistan,AFG,1990,1.051
Afghanistan,AFG,1991,1.0213
Afghanistan,AFG,1992,1.0313
Afghanistan,AFG,1993,1.0210999
Afghanistan,AFG,1994,1.025
Afghanistan,AFG,1995,1.0895
Afghanistan,AFG,1996,1.122
Afghanistan,AFG,1997,1.2764
Afghanistan,AFG,1998,1.2964
Afghanistan,AFG,1999,1.2329
Afghanistan,AFG,2000,0.724
Afghanistan,AFG,2001,0.89769995
Afghanistan,AFG,2002,1.5418999
Afghanistan,AFG,2003,1.5
Afghanistan,AFG,2004,1.2659
Afghanistan,AFG,2005,1.8215
Afghanistan,AFG,2006,1.3759999
Afghanistan,AFG,2007,1.8183
Afghanistan,AFG,2008,1.2263
Afghanistan,AFG,2009,1.9666
Afghanistan,AFG,2010,1.9252
Afghanistan,AFG,2011,1.5179
Afghanistan,AFG,2012,2.0104
Afghanistan,AFG,2013,2.0248
Afghanistan,AFG,2014,2.0237
Afghanistan,AFG,2015,2.1959
Afghanistan,AFG,2016,1.9803
Afghanistan,AFG,2017,2.0342
Afghanistan,AFG,2018,2.21
Afghanistan,AFG,2019,2.0951
Afghanistan,AFG,2020,1.9433999
Afghanistan,AFG,2021,2.1272
Africa,,1961,0.69094217
Africa,,1962,0.9218807
Africa,,1963,0.8976482
Africa,,1964,0.87154686
Africa,,1965,0.8275844
Africa,,1966,0.7569531
Africa,,1967,0.8401286
Africa,,1968,0.9923189
Africa,,1969,0.80654305
Africa,,1970,0.86934006
Africa,,1971,0.9779543
Africa,,1972,0.9914201
Africa,,1973,0.9342791
Africa,,1974,0.9638208
Africa,,1975,1.1009274
Africa,,1976,1.124778
Africa,,1977,0.9218016
Africa,,1978,1.0393645
Africa,,1979,1.0564569
Africa,,1980,1.0960861
Africa,,1981,1.132746
Africa,,1982,1.2793169
Africa,,1983,1.114266
Africa,,1984,1.1443077
Africa,,1985,1.245364
Africa,,1986,1.4451435
Africa,,1987,1.5037777
Africa,,1988,1.7592602
Africa,,1989,1.4808269
Africa,,1990,1.5984902
Africa,,1991,1.9167112
Africa,,1992,1.6224033
Africa,,1993,1.6385173
Africa,,1994,1.942899
Africa,,1995,1.621557
Africa,,1996,2.0357335
Africa,,1997,1.7913003
Africa,,1998,1.8529992
Africa,,1999,1.820083
Africa,,2000,1.7453997
Africa,,2001,2.017764
Africa,,2002,2.1281445
Africa,,2003,2.2177246
Africa,,2004,2.2099411
Africa,,2005,2.1295714
Africa,,2006,2.43281
Africa,,2007,2.0194082
Africa,,2008,2.3025947
Africa,,2009,2.5657167
Africa,,2010,2.3139703
Africa,,2011,2.6023443
Africa,,2012,2.3948429
