,Year,"GHG emissions per kilogram (Poore & Nemecek, 2018)"
0,2010,0.43
1,2010,0.86
2,2010,1.18
3,2010,99.48
4,2010,33.3
5,2010,1.81
6,2010,1.53
7,2010,0.51
8,2010,3.2
9,2010,1.32
10,2010,23.88
11,2010,0.39
12,2010,28.53
13,2010,46.65
14,2010,4.67
15,2010,13.63
16,2010,3.23
17,2010,39.72
18,2010,1.7
19,2010,3.15
20,2010,0.43
21,2010,2.48
22,2010,0.5
23,2010,1.05
24,2010,1.79
25,2010,0.53
26,2010,0.98
27,2010,12.31
28,2010,0.46
29,2010,9.87
30,2010,26.87
31,2010,4.45
32,2010,0.43
33,2010,0.98
34,2010,3.16
35,2010,2.09
36,2010,1.57
37,2010,1.79
