,Year,Living Planet Index,Upper CI,Lower CI
0,1970,100.0,100.0,100.0
1,1971,95.46197,104.9108,87.790567
2,1972,94.683415,110.86783,81.47984000000001
3,1973,99.181175,120.87072,81.90875
4,1974,99.384934,127.87778,77.14461
5,1975,96.61808,132.44863,69.76196
6,1976,92.4302,134.84796,61.837050000000005
7,1977,87.26711999999999,131.952,56.34361
8,1978,80.73154,125.72732,50.86064999999999
9,1979,76.92542999999999,125.75388999999998,46.26641
10,1980,76.90819,132.82049,43.880004
11,1981,79.57674,142.61507,43.644804
12,1982,76.40778,139.82531,41.075352
13,1983,73.15032500000001,134.31398000000002,39.057097
14,1984,68.47612,126.08140000000002,36.338758
15,1985,63.735694,117.93070000000002,33.653042
16,1986,59.79401,111.44868,31.480372000000003
17,1987,57.302266,107.70772,30.151215
18,1988,56.04172,105.84155,29.4651
19,1989,55.163693,104.7286,28.956127
20,1990,53.53412,102.04711,27.992064
21,1991,52.49576,100.47737,27.323914
22,1992,52.553064000000006,101.03819,27.247414
23,1993,52.879715,102.22621999999998,27.229813000000004
24,1994,53.79903,104.64113,27.489397
25,1995,53.20898,104.13283,27.013078
26,1996,53.31399999999999,104.83172,26.997986
27,1997,52.35895000000001,103.34549,26.479855
28,1998,51.48128,101.8665,26.052165
29,1999,50.7355,100.53807,25.653645000000004
30,2000,49.84782,99.062806,25.194833
31,2001,47.79694,95.5173,24.047057
32,2002,45.418295,91.410357,22.7726
33,2003,43.467075,88.07930400000001,21.584627
34,2004,43.0759,88.143677,21.047457
35,2005,42.34751,87.52023,20.352492
36,2006,41.760892,87.05808499999999,19.843455
37,2007,41.764033,87.35758,19.82945
38,2008,42.106512,88.00000999999999,19.957817
39,2009,42.209774,88.48471,19.960947
40,2010,41.113392,86.38893399999999,19.391656
41,2011,39.325637,83.07537,18.496186
42,2012,36.957404,78.1069,17.35908
43,2013,34.51454,73.001695,16.184811
44,2014,32.49287,68.62863300000001,15.238576
45,2015,31.293574000000003,66.256154,14.669147
46,2016,32.054222,68.026894,14.968883
47,2017,34.445876,73.43357999999999,15.991855
48,1970,100.0,100.0,100.0
49,1971,103.71096,109.73047,98.47158
50,1972,104.83867,114.40424,96.100694
51,1973,104.1134,114.80968,93.620443
52,1974,104.98115,116.57597,93.8733
53,1975,105.98036,118.40523,94.33209
54,1976,106.01546,119.12738,93.97155
55,1977,104.16127,117.26179,92.153233
56,1978,102.56186,115.7287,90.49999
57,1979,101.44664000000002,114.75374,89.24706
58,1980,100.67152,114.19536,88.32681
59,1981,99.026155,112.65767,86.6304
60,1982,96.717304,110.36655,84.34331
61,1983,93.70903,107.25349,81.48149000000001
62,1984,92.25159,106.70655,79.47895
63,1985,92.458534,108.66195,78.492355
64,1986,94.252414,113.65442,78.26455
65,1987,94.757587,116.5778,77.42004
66,1988,94.40385,118.01323,76.22282
67,1989,93.061244,117.27253,74.67910599999999
68,1990,90.09349,114.69969,71.54258999999999
69,1991,86.526734,111.54144,67.83386
70,1992,82.85733499999999,108.19927,64.09076
71,1993,78.79221,104.01789,60.28006
72,1994,75.63638999999999,100.8917,57.15854
73,1995,72.34422,97.493047,54.07322
74,1996,70.80678,96.063626,52.50692
75,1997,68.932796,94.21723,50.77584
76,1998,66.69414,91.799045,48.745552
77,1999,64.504075,89.51847000000001,46.805006
78,2000,62.26602,86.936504,44.924057
79,2001,61.2745,85.811317,43.987495
80,2002,61.50519,86.17513,43.99993
81,2003,62.201875,87.21953,44.328162
82,2004,63.06195,88.82842,44.817626
83,2005,62.876225,89.2961,44.50083
84,2006,62.67986,89.850974,44.099128
85,2007,59.98012000000001,86.90742,41.737357
