,Entity,Code,Year,Wheat yield
0,Afghanistan,AFG,1961,1.022
1,Afghanistan,AFG,1962,0.97349995
2,Afghanistan,AFG,1963,0.83169997
3,Afghanistan,AFG,1964,0.951
4,Afghanistan,AFG,1965,0.9723
5,Afghanistan,AFG,1966,0.8666
6,Afghanistan,AFG,1967,1.1231999
7,Afghanistan,AFG,1968,1.1561999
8,Afghanistan,AFG,1969,1.1855
9,Afghanistan,AFG,1970,0.95629996
10,Afghanistan,AFG,1971,0.8149
11,Afghanistan,AFG,1972,0.84569997
12,Afghanistan,AFG,1973,1.1739
13,Afghanistan,AFG,1974,1.2074
14,Afghanistan,AFG,1975,1.2128
15,Afghanistan,AFG,1976,1.2494
16,Afghanistan,AFG,1977,1.1309
17,Afghanistan,AFG,1978,1.198
18,Afghanistan,AFG,1979,1.2317
19,Afghanistan,AFG,1980,1.2549
20,Afghanistan,AFG,1981,1.235
21,Afghanistan,AFG,1982,1.2299
22,Afghanistan,AFG,1983,1.258
23,Afghanistan,AFG,1984,1.2319
24,Afghanistan,AFG,1985,1.2277
25,Afghanistan,AFG,1986,1.189
26,Afghanistan,AFG,1987,1.2849
27,Afghanistan,AFG,1988,1.1728
28,Afghanistan,AFG,1989,1.118
29,Afghanistan,AFG,1990,1.051
30,Afghanistan,AFG,1991,1.0213
31,Afghanistan,AFG,1992,1.0313
32,Afghanistan,AFG,1993,1.0210999
33,Afghanistan,AFG,1994,1.025
34,Afghanistan,AFG,1995,1.0895
35,Afghanistan,AFG,1996,1.122
36,Afghanistan,AFG,1997,1.2764
37,Afghanistan,AFG,1998,1.2964
38,Afghanistan,AFG,1999,1.2329
39,Afghanistan,AFG,2000,0.724
40,Afghanistan,AFG,2001,0.89769995
41,Afghanistan,AFG,2002,1.5418999
42,Afghanistan,AFG,2003,1.5
43,Afghanistan,AFG,2004,1.2659
44,Afghanistan,AFG,2005,1.8215
45,Afghanistan,AFG,2006,1.3759999
46,Afghanistan,AFG,2007,1.8183
47,Afghanistan,AFG,2008,1.2263
48,Afghanistan,AFG,2009,1.9666
49,Afghanistan,AFG,2010,1.9252
50,Afghanistan,AFG,2011,1.5179
51,Afghanistan,AFG,2012,2.0104
52,Afghanistan,AFG,2013,2.0248
53,Afghanistan,AFG,2014,2.0237
54,Afghanistan,AFG,2015,2.1959
55,Afghanistan,AFG,2016,1.9803
56,Afghanistan,AFG,2017,2.0342
57,Afghanistan,AFG,2018,2.21
58,Afghanistan,AFG,2019,2.0951
59,Afghanistan,AFG,2020,1.9433999
60,Afghanistan,AFG,2021,2.1272
61,Africa,,1961,0.69094217
62,Africa,,1962,0.9218807
63,Africa,,1963,0.8976482
64,Africa,,1964,0.87154686
65,Africa,,1965,0.8275844
66,Africa,,1966,0.7569531
67,Africa,,1967,0.8401286
68,Africa,,1968,0.9923189
69,Africa,,1969,0.80654305
70,Africa,,1970,0.86934006
71,Africa,,1971,0.9779543
72,Africa,,1972,0.9914201
73,Africa,,1973,0.9342791
74,Africa,,1974,0.9638208
75,Africa,,1975,1.1009274
76,Africa,,1976,1.124778
77,Africa,,1977,0.9218016
78,Africa,,1978,1.0393645
79,Africa,,1979,1.0564569
80,Africa,,1980,1.0960861
81,Africa,,1981,1.132746
82,Africa,,1982,1.2793169
83,Africa,,1983,1.114266
84,Africa,,1984,1.1443077
85,Africa,,1985,1.245364
86,Africa,,1986,1.4451435
87,Africa,,1987,1.5037777
88,Africa,,1988,1.7592602
89,Africa,,1989,1.4808269
