,Year,Living Planet Index
0,1970,100.0
1,1971,95.46197
2,1972,94.683415
3,1973,99.181175
4,1974,99.384934
5,1975,96.61808
6,1976,92.4302
7,1977,87.26711999999999
8,1978,80.73154
9,1979,76.92542999999999
10,1980,76.90819
11,1981,79.57674
12,1982,76.40778
13,1983,73.15032500000001
14,1984,68.47612
15,1985,63.735694
16,1986,59.79401
17,1987,57.302266
18,1988,56.04172
19,1989,55.163693
20,1990,53.53412
21,1991,52.49576
22,1992,52.553064000000006
23,1993,52.879715
24,1994,53.79903
25,1995,53.20898
26,1996,53.31399999999999
27,1997,52.35895000000001
28,1998,51.48128
29,1999,50.7355
30,2000,49.84782
31,2001,47.79694
32,2002,45.418295
33,2003,43.467075
34,2004,43.0759
35,2005,42.34751
36,2006,41.760892
37,2007,41.764033
38,2008,42.106512
39,2009,42.209774
40,2010,41.113392
41,2011,39.325637
42,2012,36.957404
43,2013,34.51454
44,2014,32.49287
45,2015,31.293574000000003
46,2016,32.054222
47,2017,34.445876
48,1970,100.0
49,1971,103.71096
50,1972,104.83867
51,1973,104.1134
52,1974,104.98115
53,1975,105.98036
54,1976,106.01546
55,1977,104.16127
56,1978,102.56186
57,1979,101.44664000000002
58,1980,100.67152
59,1981,99.026155
60,1982,96.717304
61,1983,93.70903
62,1984,92.25159
63,1985,92.458534
64,1986,94.252414
65,1987,94.757587
66,1988,94.40385
67,1989,93.061244
68,1990,90.09349
69,1991,86.526734
70,1992,82.85733499999999
71,1993,78.79221
72,1994,75.63638999999999
73,1995,72.34422
74,1996,70.80678
75,1997,68.932796
76,1998,66.69414
77,1999,64.504075
78,2000,62.26602
79,2001,61.2745
80,2002,61.50519
81,2003,62.201875
82,2004,63.06195
83,2005,62.876225
84,2006,62.67986
85,2007,59.98012000000001
86,2008,55.849594
87,2009,50.052905
88,2010,46.797657
89,2011,44.423908
90,2012,43.99663
91,2013,44.64906
92,2014,45.918137
93,2015,46.883875
94,2016,44.755146
95,2017,44.335765
96,2018,44.67965
97,1970,100.0
98,1971,101.27226
99,1972,103.28786
100,1973,105.62783
101,1974,107.57695
102,1975,108.68518
103,1976,109.44718
104,1977,110.9427
105,1978,112.80895
106,1979,113.88322
107,1980,113.81798
108,1981,113.0956
109,1982,113.44912
110,1983,112.00391
111,1984,112.05086
112,1985,111.94302
113,1986,113.95367
114,1987,116.77142
115,1988,121.41253
116,1989,126.9586
117,1990,130.54469
118,1991,130.74106999999998
119,1992,128.74790000000002
120,1993,125.25362
121,1994,121.71162
122,1995,118.51712
123,1996,114.81868
124,1997,111.92477
125,1998,109.07505
126,1999,107.35085
127,2000,106.45916
128,2001,105.06132
129,2002,104.75336
130,2003,104.16096
131,2004,104.87709999999998
132,2005,105.44727
133,2006,105.83016
134,2007,105.57783
135,2008,104.43362
136,2009,104.42816
137,2010,105.53932
138,2011,103.0181
139,2012,98.60531
140,2013,92.27528
141,2014,90.601116
142,2015,88.429743
143,2016,86.1145
144,2017,83.487487
145,2018,82.29153
146,1970,100.0
147,1971,98.29372
148,1972,97.189265
149,1973,96.96878
150,1974,94.197947
151,1975,90.1231
152,1976,85.91758
153,1977,82.21316
154,1978,78.75618
155,1979,76.22495
156,1980,74.38991
157,1981,73.11067
158,1982,69.969213
159,1983,66.303223
160,1984,62.957823000000005
161,1985,60.48363
162,1986,58.40696
163,1987,55.705595
164,1988,52.63198
165,1989,51.081663
166,1990,49.279016
167,1991,47.662228
168,1992,45.541835000000006
169,1993,43.451172
170,1994,41.45049
