,Year,Wheat yield
0,1961,1.022
1,1962,0.97349995
2,1963,0.83169997
3,1964,0.951
4,1965,0.9723
5,1966,0.8666
6,1967,1.1231999
7,1968,1.1561999
8,1969,1.1855
9,1970,0.95629996
10,1971,0.8149
11,1972,0.84569997
12,1973,1.1739
13,1974,1.2074
14,1975,1.2128
15,1976,1.2494
16,1977,1.1309
17,1978,1.198
18,1979,1.2317
19,1980,1.2549
20,1981,1.235
21,1982,1.2299
22,1983,1.258
23,1984,1.2319
24,1985,1.2277
25,1986,1.189
26,1987,1.2849
27,1988,1.1728
28,1989,1.118
29,1990,1.051
30,1991,1.0213
31,1992,1.0313
32,1993,1.0210999
33,1994,1.025
34,1995,1.0895
35,1996,1.122
36,1997,1.2764
37,1998,1.2964
38,1999,1.2329
39,2000,0.724
40,2001,0.89769995
41,2002,1.5418999
42,2003,1.5
43,2004,1.2659
44,2005,1.8215
45,2006,1.3759999
46,2007,1.8183
47,2008,1.2263
48,2009,1.9666
49,2010,1.9252
50,2011,1.5179
51,2012,2.0104
52,2013,2.0248
53,2014,2.0237
54,2015,2.1959
55,2016,1.9803
56,2017,2.0342
57,2018,2.21
58,2019,2.0951
59,2020,1.9433999
60,2021,2.1272
61,1961,0.69094217
62,1962,0.9218807
63,1963,0.8976482
64,1964,0.87154686
65,1965,0.8275844
66,1966,0.7569531
67,1967,0.8401286
68,1968,0.9923189
69,1969,0.80654305
70,1970,0.86934006
71,1971,0.9779543
72,1972,0.9914201
73,1973,0.9342791
74,1974,0.9638208
75,1975,1.1009274
76,1976,1.124778
77,1977,0.9218016
78,1978,1.0393645
79,1979,1.0564569
80,1980,1.0960861
81,1981,1.132746
82,1982,1.2793169
83,1983,1.114266
84,1984,1.1443077
85,1985,1.245364
86,1986,1.4451435
87,1987,1.5037777
88,1988,1.7592602
89,1989,1.4808269
90,1990,1.5984902
91,1991,1.9167112
92,1992,1.6224033
93,1993,1.6385173
94,1994,1.942899
95,1995,1.621557
96,1996,2.0357335
97,1997,1.7913003
98,1998,1.8529992
99,1999,1.820083
100,2000,1.7453997
101,2001,2.017764
102,2002,2.1281445
103,2003,2.2177246
104,2004,2.2099411
105,2005,2.1295714
106,2006,2.43281
107,2007,2.0194082
108,2008,2.3025947
109,2009,2.5657167
110,2010,2.3139703
111,2011,2.6023443
112,2012,2.3948429
113,2013,2.7932756
114,2014,2.5711324
115,2015,2.8470433
116,2016,2.4488645
117,2017,2.5638962
118,2018,2.9336603
119,2019,2.7511604
120,2020,2.5409522
121,2021,3.030368
122,1961,0.69299996
123,1962,0.92359996
124,1963,0.899
125,1964,0.8736
126,1965,0.8287
127,1966,0.7604
128,1967,0.8423
129,1968,0.99219996
130,1969,0.8103
131,1970,0.8703
132,1971,0.98279995
133,1972,0.99179995
134,1973,0.9402
135,1974,0.9711
136,1975,1.1004
137,1976,1.1177
138,1977,0.92689997
139,1978,1.0459
140,1979,1.0458
141,1980,1.0988
142,1981,1.134
143,1982,1.275
144,1983,1.1230999
145,1984,1.1438
146,1985,1.2476
147,1986,1.4427999
148,1987,1.5013
149,1988,1.7497
150,1989,1.4811
151,1990,1.5981
152,1991,1.8951
153,1992,1.6501
154,1993,1.6279
155,1994,1.9152999
156,1995,1.6212
157,1996,2.0284
158,1997,1.7975999
159,1998,1.8642
160,1999,1.8098999
161,2000,1.752
162,2001,2.0245
163,2002,2.1283
164,2003,2.2133
165,2004,2.2137
166,2005,2.1353
167,2006,2.4572
168,2007,2.0442
169,2008,2.29
170,2009,2.5284
171,2010,2.3014
172,2011,2.5836
173,2012,2.3948
174,2013,2.7933
175,2014,2.5711
176,2015,2.847
177,2016,2.4489
178,2017,2.5639
179,2018,2.9336998
180,2019,2.7512
181,2020,2.541
182,2021,3.0304
183,1961,0.77309996
184,1962,1.0522
185,1963,0.7127
186,1964,0.9625
187,1965,1.1344
188,1966,1.2398
189,1967,1.355
190,1968,1.4124
191,1969,1.6388999
192,1970,1.5376999
193,1971,1.8735
194,1972,1.9
195,1973,2.0097
196,1974,2.0625
197,1975,1.9375
198,1976,2.5526
199,1977,2.45
200,1978,2.45
201,1979,2.49
202,1980,2.5198
203,1981,2.5321
204,1982,2.6885998
205,1983,3.0879
206,1984,3.1578999
207,1985,3.1406
208,1986,2.8945
209,1987,3.1030998
210,1988,3.201
211,1989,2.9301999
212,1990,3.0196998
213,1991,2.0698
214,1992,2.4387999
215,1993,2.9975998
216,1994,2.4745
217,1995,2.8702998
218,1996,2.1741
219,1997,2.8516
220,1998,2.8037
221,1999,2.4954
222,2000,3.0455
223,2001,2.822
224,2002,3.1617
225,2003,2.8629
226,2004,3.113
227,2005,3.1582
228,2006,3.0786998
229,2007,3.5496
230,2008,4.0168
231,2009,4.0229
232,2010,3.9905
233,2011,4.2300997
234,2012,4.1096
235,2013,4.1292
236,2014,4.0001
237,2015,3.9510999
238,2016,3.8999999
239,2017,4.0367
240,2018,3.6927
241,2019,4.068
242,2020,4.3271
243,2021,4.1305
244,1961,0.406
245,1962,0.8045
246,1963,0.8326
247,1964,0.5317
248,1965,0.60569996
249,1966,0.4252
250,1967,0.6333
251,1968,0.6899
252,1969,0.6034
253,1970,0.6245
254,1971,0.61329997
255,1972,0.6701
256,1973,0.49339998
257,1974,0.4957
258,1975,0.83129996
259,1976,0.7101
260,1977,0.4337
261,1978,0.5809
262,1979,0.5553
263,1980,0.72969997
264,1981,0.672
265,1982,0.5965
266,1983,0.5635
267,1984,0.573
268,1985,0.8861
269,1986,0.8084
270,1987,0.7777
271,1988,0.6006
272,1989,0.78209996
273,1990,0.6315
274,1991,1.0809
275,1992,0.9939
276,1993,0.80969995
277,1994,0.7999
278,1995,0.89239997
279,1996,1.309
280,1997,0.8016
281,1998,0.8847
282,1999,1.0711
283,2000,0.9194
284,2001,1.1104
285,2002,1.0739
286,2003,1.448
287,2004,1.3582
288,2005,1.5057
289,2006,1.5067999
290,2007,1.2742
291,2008,1.1037999
292,2009,1.5975
293,2010,1.4837999
294,2011,1.7405
295,2012,1.7638999
296,2013,1.91
297,2014,1.4753
298,2015,1.464
299,2016,1.1833
300,2017,1.1501
301,2018,2.0433
302,2019,1.9629999
303,2020,1.6811
304,2021,1.5842999
305,1961,1.2981
306,1962,1.5471
307,1963,1.6567999
308,1964,1.6242
309,1965,1.6334
310,1966,1.7003
311,1967,1.5475
