,Entity,Products,CO2 (in Tonnes)
0,Australia,cattle_meat,1767338.3
1,Australia,oilseed_products,4969793.6
2,Australia,other_cereals,89034.21
3,Australia,other_crops,873074.76
4,Australia,other_meat_products,0.0
5,Australia,plant_fibres,101078.23
6,Australia,rice,879389.07
7,Australia,sugar,152323.31
8,Australia,veg_fruits_nuts,1175708.59
9,Australia,wheat,41496.59
10,Austria,cattle_meat,750326.26
11,Austria,oilseed_products,959211.81
12,Austria,other_cereals,30146.2
13,Austria,other_crops,226532.92
14,Austria,other_meat_products,0.0
15,Austria,plant_fibres,24966.59
16,Austria,rice,184118.42
17,Austria,sugar,33453.32
18,Austria,veg_fruits_nuts,392507.17
19,Austria,wheat,15495.06
20,Belgium,cattle_meat,1666691.48
21,Belgium,oilseed_products,4135304.8
22,Belgium,other_cereals,86200.38
23,Belgium,other_crops,1082828.03
24,Belgium,other_meat_products,0.0
25,Belgium,plant_fibres,106014.55
26,Belgium,rice,458813.42
27,Belgium,sugar,85687.04
28,Belgium,veg_fruits_nuts,1633892.46
29,Belgium,wheat,50684.96
30,Brazil,cattle_meat,466297528.39
31,Brazil,oilseed_products,7542319.31
32,Brazil,other_cereals,2329114.42
33,Brazil,other_crops,5085772.61
34,Brazil,other_meat_products,0.0
35,Brazil,plant_fibres,1130639.56
36,Brazil,rice,10277208.35
37,Brazil,sugar,6621832.43
38,Brazil,veg_fruits_nuts,11853222.16
39,Brazil,wheat,3112053.79
40,Bulgaria,cattle_meat,74554.72
41,Bulgaria,oilseed_products,287585.56
42,Bulgaria,other_cereals,5368.4
43,Bulgaria,other_crops,93859.3
44,Bulgaria,other_meat_products,0.0
45,Bulgaria,plant_fibres,4320.7
46,Bulgaria,rice,32811.58
47,Bulgaria,sugar,12265.05
48,Bulgaria,veg_fruits_nuts,65247.88
49,Bulgaria,wheat,2691.42
50,Canada,cattle_meat,2665047.89
51,Canada,oilseed_products,3624347.85
52,Canada,other_cereals,110420.51
53,Canada,other_crops,2009818.41
54,Canada,other_meat_products,0.0
55,Canada,plant_fibres,95454.95
56,Canada,rice,702091.09
57,Canada,sugar,154281.65
58,Canada,veg_fruits_nuts,1593326.98
59,Canada,wheat,70277.88
60,China,cattle_meat,12387036.52
61,China,oilseed_products,118397858.5
62,China,other_cereals,460586.3
63,China,other_crops,15895193.43
64,China,other_meat_products,0.0
65,China,plant_fibres,1250616.33
66,China,rice,5441660.44
67,China,sugar,1486521.62
68,China,veg_fruits_nuts,12765543.28
69,China,wheat,207476.65
70,Croatia,cattle_meat,117526.96
71,Croatia,oilseed_products,185067.73
72,Croatia,other_cereals,5155.45
73,Croatia,other_crops,43818.45
74,Croatia,other_meat_products,0.0
75,Croatia,plant_fibres,3297.63
76,Croatia,rice,28201.6
77,Croatia,sugar,6320.21
78,Croatia,veg_fruits_nuts,50624.78
79,Croatia,wheat,2741.82
80,Cyprus,cattle_meat,65817.34
81,Cyprus,oilseed_products,87130.51
82,Cyprus,other_cereals,3783.88
83,Cyprus,other_crops,12946.65
84,Cyprus,other_meat_products,0.0
85,Cyprus,plant_fibres,798.44
86,Cyprus,rice,19470.54
87,Cyprus,sugar,3942.72
88,Cyprus,veg_fruits_nuts,23095.76
89,Cyprus,wheat,2452.11
90,Czechia,cattle_meat,323900.21
91,Czechia,oilseed_products,658518.96
92,Czechia,other_cereals,17658.68
93,Czechia,other_crops,268878.64
94,Czechia,other_meat_products,0.0
95,Czechia,plant_fibres,19826.65
96,Czechia,rice,131315.91
97,Czechia,sugar,20885.77
98,Czechia,veg_fruits_nuts,365266.34
99,Czechia,wheat,9401.03
100,Denmark,cattle_meat,530664.66
101,Denmark,oilseed_products,1344172.28
102,Denmark,other_cereals,23811.47
103,Denmark,other_crops,123198.81
104,Denmark,other_meat_products,0.0
