,Country Name,Year,Wheat Yield (tonnes/km2)
0,Afghanistan,1961,1.02
1,Afghanistan,1962,0.97
2,Afghanistan,1963,0.83
3,Afghanistan,1964,0.95
4,Afghanistan,1965,0.97
5,Afghanistan,1966,0.87
6,Afghanistan,1967,1.12
7,Afghanistan,1968,1.16
8,Afghanistan,1969,1.19
9,Afghanistan,1970,0.96
10,Afghanistan,1971,0.81
11,Afghanistan,1972,0.85
12,Afghanistan,1973,1.17
13,Afghanistan,1974,1.21
14,Afghanistan,1975,1.21
15,Afghanistan,1976,1.25
16,Afghanistan,1977,1.13
17,Afghanistan,1978,1.2
18,Afghanistan,1979,1.23
19,Afghanistan,1980,1.25
20,Afghanistan,1981,1.24
21,Afghanistan,1982,1.23
22,Afghanistan,1983,1.26
23,Afghanistan,1984,1.23
24,Afghanistan,1985,1.23
25,Afghanistan,1986,1.19
26,Afghanistan,1987,1.28
27,Afghanistan,1988,1.17
28,Afghanistan,1989,1.12
29,Afghanistan,1990,1.05
30,Afghanistan,1991,1.02
31,Afghanistan,1992,1.03
32,Afghanistan,1993,1.02
33,Afghanistan,1994,1.02
34,Afghanistan,1995,1.09
35,Afghanistan,1996,1.12
36,Afghanistan,1997,1.28
37,Afghanistan,1998,1.3
38,Afghanistan,1999,1.23
39,Afghanistan,2000,0.72
40,Afghanistan,2001,0.9
41,Afghanistan,2002,1.54
42,Afghanistan,2003,1.5
43,Afghanistan,2004,1.27
44,Afghanistan,2005,1.82
45,Afghanistan,2006,1.38
46,Afghanistan,2007,1.82
47,Afghanistan,2008,1.23
48,Afghanistan,2009,1.97
49,Afghanistan,2010,1.93
50,Afghanistan,2011,1.52
51,Afghanistan,2012,2.01
52,Afghanistan,2013,2.02
53,Afghanistan,2014,2.02
54,Afghanistan,2015,2.2
55,Afghanistan,2016,1.98
56,Afghanistan,2017,2.03
57,Afghanistan,2018,2.21
58,Afghanistan,2019,2.1
59,Afghanistan,2020,1.94
60,Afghanistan,2021,2.13
